db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n271416472,Mrkev miluje rajčata,78,11,2015,176,Ikar,naučná,české</p>,,"Mrkev miluje rajčata kniha od autora Riotteová Louise. Klasická příručka známé americké odbornice odkrývá tajemství úspěšného zahradničení spočívající ve výsadbě rostlin, které...",79,99,"['Ikar, naučná', '', 'české']"
n503798948,Běh pro ženy - Kompletní průvodce běžeckým sportem pro každou ženu - Sam Murphyová,100,1,2015,208,Ikar,naučná,české</p>,,"Kniha v prvé řadě nahlíží na běh jako na náročný, prospěšný a přesto zábavný sport. Pokud s během začínáte a nebo na tuto aktivitu teprve pomýšlíte, najdete zde rady, které vám...",44,399,"['Ikar, naučná', '', 'české']"
n344459696,Jsem v tom! Těhotenský manuál českých maminek,0,0,2015,216,Ikar,naučná,české</p>,,"Jsem v tom! Těhotenský manuál českých maminek kniha od autora Komárková Kateřina. Všechny ženy si během těhotenství kladou nespočet otázek – jak se budou cítit, co mohou jíst,...",197,249,"['Ikar, naučná', '', 'české']"
n306606056,Zkrocení opilé opice - Jak ovládnout roztěkanou mysl a zlepšit celkové zdraví i výkonnost,0,0,2015,232,Ikar,naučná,české</p>,,"Příručka z oblasti populární psychologie se zaměřuje na aktuální téma „mindfulness“ a soustředí se především na to, jak zkrotit roztěkanost a nesoustředěnost, častý problém v...",26,249,"['Ikar, naučná', '', 'české']"
n312110349,"Euromedia Group, k.s. Francouzky nespí samy - Tajemství, jak najít lásku",83,2,2015,176,Ikar,naučná,české</p>,,"Tajemství, jak najít lásku. Objevte tajemství francouzského flirtu! Francouzky věří, že dar přitahovat muže nemá nic společného s krásou, prací, nebo motivací. Proto dbají, aby...",99,179,"['Ikar, naučná', '', 'české']"
n297383677,Sám sobě lékařem,90,3,2015,208,Ikar,naučná,české</p>,,"Poznej samoléčebné schopnosti těla

Před mnohými chorobami se můžeme chránit sami nebo se z nich vyléčit, pokud využijeme přirozených metod. Lidský organismus je dokonalý...",183,229,"['Ikar, naučná', '', 'české']"
n256330257,"Hitlerova dětská armáda - Lucks Günter, Stutte Harald",100,1,2015,200,Ikar,naučná,české</p>,,"Bylo jim teprve šestnáct let. Z Hitlerových chlapců vycepovali v rychlokursech vojáky, aby je pak na jaře 1945 povolali do Waffen-SS a nasadili do dávno prohrané války. Tyto...",175,249,"['Ikar, naučná', '', 'české']"
n259854733,"Euromedia Group, k.s. Mé srdce je z kamene",0,0,2015,208,Ikar,naučná,české</p>,,"Tato kniha představuje „jinou“ Alžbětu, dítě své doby, kultovní postavu dekadence. Ve čtyřiceti letech císařovna Alžběta zmizela z veřejného života. Psala básně, odjížděla na...",49,233,"['Ikar, naučná', '', 'české']"
n296806389,"Alžběta, císařovna z rodu Wittelsbachů",0,0,2015,208,Ikar,naučná,české</p>,,"Habsburky a Wittelsbachy poutaly těsné rodinné svazky. 
Manželství byla uzavírána z dynastických a politických důvodů a někdy i z lásky.

Autorka zobrazuje staleté dějiny...",197,249,"['Ikar, naučná', '', 'české']"
n256330256,Běh pro ženy Sam Murphyová,0,0,2015,208,Ikar,naučná,české</p>,,"Praktický a inspirativní průvodce pro všechny ženy, které běhají nebo s během chtějí začít. Najdou zde rady, jak zdokonalit svou běžeckou techniku, proč volit správnou obuv,...",349,349,"['Ikar, naučná', '', 'české']"
