db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n673013994,Kurt Tepperwein Mentální trénink,0,0,2009,212,Fontána,naučná,české</p>,,"p>
 Všichni máme v životě nějaké cíle, velké či malé. Chceme být šťastní a úspěšní a vidět, že se naše sny splnily. Často se však zdá, že jsme si své cíle položili příliš...",200,288,"['Fontána, naučná', '', 'české']"
n51154216,Keltská magie sexu,87,1,2009,214,Fontána,naučná,české</p>,,"Tato kniha se zabývá praktickými aspekty keltské sexuální magie: rituální přípravou, koncentrací a uvolňováním nesmírné přírodní energie vznikající při orgasmu. Tato kniha není...",175,198,"['Fontána, naučná', '', 'české']"
n9112137,Lexikon léčivých kamenů (Werner Kühni; Walter von Holst),95,2,2009,188,Fontána,naučná,české</p>,,"Lexikon vám umožňuje učinit bezprostřední krok do světa léčivých kamenů.
Každý z minerálů je charakterizován přesně a srozumitelně včetně všech svých barevných variant.
Symboly...",242,378,"['Fontána, naučná', '', 'české']"
n459929218,Praktický průvodce Reiki,0,0,2009,184,Fontána,naučná,české</p>,,Jak se mohu otevřít a vytvořit v sobě prostor pro energii reiki? Co je to vlastně práce s energií? Jak mohu pracovat v krizových situacích a co mám dělat v krizových stavech?...,178,278,"['Fontána, naučná', '', 'české']"
n60192257,Ájurvéda duše a těla Pavol Hlôška,0,0,2009,232,Fontána,naučná,české</p>,,"Ájurvéda je stará orientální věda o dlouhém, spokojeném a zdravém životě. Její hlavní tajemství tkví v poznání, že není vše dobré pro každého a že o tom, co je pro člověka...",159,248,"['Fontána, naučná', '', 'české']"
n599450714,Duhový palác,0,0,2009,224,Fontána,naučná,české</p>,,"Tändzin Čhödag, jeden z nejvýznamnějších mistrů tibetské lékařské tradice, opustil definitivně svůj rodný Tibet v roce 1980. Po více než dvaceti letech nepředstavitelného...",172,248,"['Fontána, naučná', '', 'české']"
n455349200,Celostní medicína v praxi - Hulke Waltraud Maria,100,1,2009,232,Fontána,naučná,české</p>,,"Praktické použití léčivých energií barev, čaker, drahokamů, myšlenek a bylin. Tato kniha je rozsáhlým úvodem, s jehož pomocí můžeme objevit a prakticky používat jemné energie,...",153,238,"['Fontána, naučná', '', 'české']"
n76363104,Cesta posílení Barbara Marciniaková,100,1,2009,212,Fontána,naučná,české</p>,,"V této knize nás autorka vyzývá, abychom se postavily odvěkým silám, keré omezují vědomí. Předkládá plejádské klíče k probuzení lidského vědomí a otevření se neomezeným...",185,288,"['Fontána, naučná', '', 'české']"
n454363906,Konopí jako lék - Franjo Grotenhermen,0,0,2009,232,Fontána,naučná,české</p>,,"Praktický rádce k využívání konopí v medicíně.
 Základní práce experta na konopí MUDr. Granjo Grotenhermena poskytuje obsáhlý a srozumitelný výklad možností ošetření konopím a...",191,298,"['Fontána, naučná', '', 'české']"
n454363648,Léčení čaker - John R. Cross,0,0,2009,216,Fontána,naučná,české</p>,,"John R. Cross/ Fontána, brožovaná, 215 stran.
Používání čaker v akupresuře, práci s tělem, reflexologii a dalších léčebných disciplínách
Kniha Léčení pomocí energetické...",217,328,"['Fontána, naučná', '', 'české']"
n459933930,Léčba dětí masáží spoušťových bodů - Donna Finando,0,0,2009,232,Fontána,naučná,české</p>,,"Dotek významně ovlivňuje vývoj dětí. Vytváří jejich vnímání sebe sama a jejich spojení se zbytkem světa. Donna Finando ukazuje, že dotek je také klíčem k obnovení zdraví. Jako...",273,388,"['Fontána, naučná', '', 'české']"
n459929308,Tvůj život jako mistrovské dílo,0,0,2009,200,Fontána,naučná,české</p>,,"Jazyk: český
Počet stran: 200
Rok vydání: 2009
Vazba / Podoba: Pevná bez přebalu matná
Sortiment: 
Nakladatelství: Mgr. Milena Valušková",194,298,"['Fontána, naučná', '', 'české']"
n5039259,Diagnóza rakovina -- Rádce jak čelit rakovině Liliane Casiaraghi,0,0,2009,192,Fontána,naučná,české</p>,,Tradiční kultury po celém světě se stravovaly podle přírodních biorytmů daných ročními obdobími. Udržet tělo v maximální kondici vyžaduje občas držet půst nebo poskytnout...,204,288,"['Fontána, naučná', '', 'české']"
n454323474,"Reiki a školská medicína (Klatt Oliver, Lindner Norbert,)",0,0,2009,182,Fontána,naučná,české</p>,,Tato kniha je podnětnou obhajovací řečí v zájmu spolupráce praktikantů Reiki se zástupci školské medicíny. Tato kniha je podnětnou obhajovací řečí v zájmu spolupráce...,142,238,"['Fontána, naučná', '', 'české']"
