db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n21073814,Trénink slovní sebeobrany -- Jak pohotově najít správná slova v každé situaci - Matthias Nöllke,96,4,2011,120,Grada,naučná,Nöllke Matthias</p>,,"Trénink slovní sebeobrany. V knížce s padesáti cvičeními a mnoha praktickými tipy a radami si natrénujete, jak sebevědomě čelit slovním útokům a napadením. Když si osvojíte a v...",134,169,"['Grada, naučná', '', 'české, Nöllke Matthias']"
n455348040,Hlavu vzhůru - Knížka o přežití - Croos–Müller Claudia,90,2,2011,40,Grada,naučná,Claudia Cross–Müller</p>,,"Malá kniha o přežití. Rychlá pomoc při stresu, vzteku a špatné náladě.
Tato kniha je určena všem, kdo bojují se špatnou náladou a stresem. Autorka vám ukáže, jak lze tyto...",111,139,"['Grada, naučná', '', 'české, Claudia Cross–Müller']"
n20795858,"4týdenní výchovný program pro psy den po dni, krok za krokem Ophelia Nick",86,8,2011,100,Grada,naučná,Nick Ophelia</p>,,"Den po dni, krok za krokem. Máte pocit, že byste se svému psu měli více věnovat a že by neuškodilo trochu si procvičit jeho správné chování? V této přehledné a moderní příručce...",158,199,"['Grada, naučná', '', 'české, Nick Ophelia']"
n30152983,Síla pozitivního myšlení - Jak získat životní nadhled a udržet starost,83,3,2011,112,Grada,naučná,Nürnberger Elke</p>,,"Optimisté to mají v životě snazší. Jsou šťastnější, zdravější, pro druhé přitažlivější, schopní uskutečnit svá přání a bojovat s problémy. Někdo se jako pozitivně naladěný...",134,169,"['Grada, naučná', '', 'české, Nürnberger Elke']"
n23749238,Křišťálová pryskyřice - šperky a přívěsky,88,1,2011,112,Grada,naučná,Darina Ivancová</p>,,"Křišťálová pryskyřice je krásná čirá hmota, s kterou lze hravě experimentovat, lít do forem, ale i na rovné plochy, na kterých se udrží díky povrchovému pnutí, zalévat...",127,299,"['Grada, naučná', '', 'české, Darina Ivancová']"
n31370765,Základy systemické terapie,0,0,2011,112,Grada,naučná,Kurt Ludewig</p>,,Samostatný psychoterapeutický směr systemická terapie vznikl na začátku osmdesátých let 20. století jako další fáze vývoje rodinné terapie. Metody a techniky systemické terapie...,154,195,"['Grada, naučná', '', 'české, Kurt Ludewig']"
n23728161,Rychlé meditace pro zklidnění těla a mysli,94,3,2011,160,Grada,naučná,Eric Harrison</p>,,"RYCHLÝ ZPŮSOB, JAK UVOLNIT TĚLO I MYSL BĚHEM CHŮZE, PŘI JÍDLE, PŘI PRÁCI NEBO KDYŽ ČEKÁTE, CESTUJETE, DÝCHÁTE...
Schází vám ve shonu všedního dne pocit uvolnění? Nemůžete...",173,219,"['Grada, naučná', '', 'české, Eric Harrison']"
n31832767,Velká kniha o pudlech,82,3,2011,160,Grada,naučná,Engler Rosa</p>,,"Tato na českém trhu bezkonkurenčně nejzdařilejší kniha o tomto plemenu potěší nejen majitele pudlů, ale zcela jistě i další milovníky psů. Nadchnou krásné výmluvné fotografie i...",127,338,"['Grada, naučná', '', 'české, Engler Rosa']"
n24525504,Zakázané přesvědčovací techniky,90,3,2011,160,Grada,naučná,Rintu Basu</p>,,"Basu Rintu. Jak snadno přesvědčit ostatní, aby v různých situacích udělali to, co chcete? Dozvíte se v této neocenitelné příručce! Naučíte se, jak pomocí metod vycházejících z...",173,219,"['Grada, naučná', '', 'české, Rintu Basu']"
n23029241,Zimní zahrady,83,2,2011,128,Grada,naučná,Ulrich E. Stempel</p>,,"V přehledně členěných kapitolách se čtenář dočte jak postupovat a co všechno zvažovat již při prvotním plánování, ale také jak provést celou stavbu zimní zahrady. Autor nabízí...",175,219,"['Grada, naučná', '', 'české, Ulrich E. Stempel']"
n23833290,Řez ovocných dřevin,88,8,2011,144,Grada,naučná,Tomáš Nečas</p>,,"Publikace od našich předních ovocnářů je určena zahrádkářům a pěstitelům ovocných stromů, kteří si nevědí rady s jejich ošetřováním, ale i studentům zahradnických škol a...",173,219,"['Grada, naučná', '', 'české, Tomáš Nečas']"
n24314074,Homeopatie a děti,94,8,2011,168,Grada,naučná,Tomáš Karhan</p>,,Dopřejte svým dětem účinky jemné a šetrné medicíny - homeopatie. Přehledný léčebný systém umožňuje domácí léčení běžných a lehkých onemocnění u dětí všech věkových kategorií -...,157,185,"['Grada, naučná', '', 'české, Tomáš Karhan']"
n24935458,Poznáváme homeopatii,87,3,2011,106,Grada,naučná,Michaela Švařičková</p>,,"Jste hrdým majitelem pejska nebo kočičky? Pokud ano, jistě chcete pro vašeho chlupatého člena rodiny tu nejlepší péči. Kniha je reakcí na stále se zvyšující zájem chovatelské...",152,159,"['Grada, naučná', '', 'české, Michaela Švařičková']"
