db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n61100661,Rébusy a hádanky pro Kuby a pro Anky,100,1,2013,96,Rebo,dětské,české</p>,,"Obrázkový sešit Rébusy a hádanky pro Kuby a pro Anky je určen všem šikovným a zvídavým dětem, které rády řeší nejrůznější hádanky a úkoly, při nichž mohou zapojit své mozkové...",89,99,"['Rebo, dětské', '', 'české']"
n620486810,U nás na farmě,97,12,2013,8,Rebo,dětské,české</p>,,"Jaké zvuky se každý den ozývají na farmě? Každé zvířátko si zpívá svoji písničku a strýček Donald, ten si zvířecí písničky vypůjčil do té své... Knížka U nás na farmě s...",175,249,"['Rebo, dětské', '', 'české']"
n259844990,Nová dobrodružství z Myšákova,97,3,2013,62,Rebo,dětské,české</p>,,"Autor : Walko, 
 Myšákov je městečko, ve kterém se pořád něco děje. Kde jinde by se mohla odehrát velká sýrová loupež? Kde jinde by si vysloužili zápis do Knihy rekordů tak...",134,134,"['Rebo, dětské', '', 'české']"
n259845081,"Co to bude, až to bude, ŽIRAFO? Kniha",0,0,2013,10,Rebo,dětské,české</p>,,"Žirafa chystá velké překvapení a zvířátka jí s chutí pomáhají... Pomoct mu mohou i malí čtenáři, když správně zodpovědí všechny otázky – odpovědi najdou celostranných...",49,49,"['Rebo, dětské', '', 'české']"
n125708255,Malý doktor,90,3,2013,16,Rebo,dětské,české</p>,,"Adam si hraje na doktora. Kdo se chce spolu s ním dozvědět zajímavé informace o lidském těle, ten je najde v této interaktivní knížce. Malý čtenář se všechno naučí hrou formou -...",299,299,"['Rebo, dětské', '', 'české']"
n91195582,Pro chytré hlavičky,88,0,2013,166,Rebo,dětské,české</p>,,"Pohádky pro děti - rébusy

Knížka ""pro chytré hlavičky"" obsahuje 70 zábavných úkolů, projektů a her, kterými malé čtenáře provedou veselé postavičky zvířátek. Spolu s nimi se...",69,199,"['Rebo, dětské', '', 'české']"
n124723417,Hasičský vůz zasahuje - Příběh plný zvuků,100,3,2013,12,Rebo,dětské,české</p>,,"Hasičský vůz zasahuje - Příběh plný zvuků. Hasičský vůz se řítí ulicemi města se zapnutou sirénou. Hóóóřííí! Hóóóřííí! Dojede včas do Obloučkové ulice ke kavárně pana Metličky,...",199,199,"['Rebo, dětské', '', 'české']"
n129575803,Dinosaurus Čenda stopařem zvuková knížka neuveden,100,2,2013,12,Rebo,dětské,české</p>,,Malý dinosaurus právě objevil kouzlo stop a s chutí se pustil do stopování. Vydej se s ním po dinosauřích stopách – na každé stránce se setkáš s jiným dinosaurem a díky...,145,199,"['Rebo, dětské', '', 'české']"
n49356383,Karnevalové masky,0,0,2013,16,Rebo,dětské,české</p>,,"Sešit obsahuje osm masek s legračními obličeji. Stačí nejprve v místě perforace vytrhnout stránku s maskou se sešitu, masku podle vlastní fantazie vybarvit, potom ji ze stránky...",49,99,"['Rebo, dětské', '', 'české']"
n105221828,Počítání v obrázcích,0,0,2013,16,Rebo,dětské,české</p>,,"Knížka Počítání prostřednictvím obrázků pomáhá nejmenším dětem v zábavném poznávání světa. Je zároveň skvělou příležitostí pro rodiče, aby s dítětem sdíleli radost nad...",68,94,"['Rebo, dětské', '', 'české']"
n124723418,Závodní auto a velký závod - Příběh plný zvuků,78,2,2013,12,Rebo,dětské,české</p>,,"Závodní auto a velký závod - Příběh plný zvuků. Modrý závodní vůz stojí na startu svého prvního velkého závodu. Podaří se mu předjet všechny soupeře a nakonec zvítězit?
Příběh...",179,179,"['Rebo, dětské', '', 'české']"
n91195585,Pro šikovné ručičky,76,4,2013,160,Rebo,dětské,české</p>,,"Knížka  ""pro šikovné ručičky"" obsahuje 150 originálních výtvarných projektů, kterými malé čtenáře provedou veselé postavičky zvířátek. Spolu s nimi si děti vyzkoušejí například...",199,199,"['Rebo, dětské', '', 'české']"
n124723421,Tak trochu jiné... PRINCEZNIČKY - Bláznivé obličeje,100,1,2013,12,Rebo,dětské,české</p>,,Tak trochu jiné... PRINCEZNIČKY - Bláznivé obličeje kniha od autora neuveden. Knížka Tak trochu jiné... PRINCEZNIČKY nabízí originální tvořivou zábavu pro menší děti. Dvanácti...,71,71,"['Rebo, dětské', '', 'české']"
n92946946,"Škola, to je hračka 2. třída předškoláka",87,5,2013,0,Rebo,dětské,české</p>,,Soubor rozmanitých úkolů a aktivit s přiloženými pěti archy samolepek a třemi pastelkami podpoří rozvoj intelektuálních schopností vašeho dítěte i jeho jemnou motoriku. Malý...,189,189,"['Rebo, dětské', '', 'české']"
