db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n351532961,Muž a žena - Osho,100,1,2015,120,,naučná,,,"Krásné a moudré myšlenky o vztazích, lásce, sexu, intimitě, manželství a opravdovém partnerství. Osho vystihuje základní rozdíly v mužské a ženské energii a kromě toho, že nás...",117,178,"['Eugenika, naučná', '', 'české, Osho']"
n283537783,"Emoce, pocity, vnitřní uzdravení. Odpovědi a otázky Lise Bourbeau Eugenika",100,1,2015,132,Eugenika,naučná,Lise Bourbeau</p>,,"Autorka odpovídá na dotazy a vysvětluje tak mnohé důležité skutečnosti o podstatě našich pocitů, emocí a vnitřních stavů. Radí, jak se vypořádat s různými náročnými situacemi,...",127,198,"['Eugenika, naučná', '', 'české, Lise Bourbeau']"
n351411284,Život beze strachu - Sineľnikov Valerij,100,1,2015,120,Eugenika,naučná,Valerij Sineľnikov</p>,,"Oblíbený autor učí, jak si poradit se strachem. V první řadě – jak strach rozeznat, uvědomit si jej, pochopit jeho příčiny i úlohu, již možná v našem životě sehrává. A dále –...",117,178,"['Eugenika, naučná', '', 'české, Valerij Sineľnikov']"
n283537787,Jak spolupracovat se svou duší - Alexander Koršunov,0,0,2015,144,Eugenika,naučná,Alexander Koršunov</p>,,"Koršunov velmi hezky a inspirativně povídá o tom, jak se nebát změn a růst; ujišťuje nás, že všechno se nám děje jenom proto, abychom pochopili, kdo jsme; učí, jak být šťastný,...",127,198,"['Eugenika, naučná', '', 'české, Alexander Koršunov']"
n274742863,Probuď se! - Daehaeng Kun Sunim,0,0,2015,160,Eugenika,naučná,Daehaeng Kun Sunim</p>,,"Slavná zenová učitelka nádherně promlouvá o podstatě lidské mysli. Tato vaše pravá podstata se dokáže poprat se vším, co přijde, a to v jakékoli podobě! Vaše beztvará mysl...",11,212,"['Eugenika, naučná', '', 'české, Daehaeng Kun Sunim']"
n257199032,Jak být sám sebou - Alexander Koršunov,0,0,2015,108,Eugenika,naučná,Alexander Koršunov</p>,,"Těchto pár desítek stránek obsahuje dostatek moudrých myšlenek na to, aby vám otevřely oči a pomohly žít plnějším životem. Ne vše, na co jsme zvyklí, je totiž dobré.
My lidé...",101,158,"['Eugenika, naučná', '', 'české, Alexander Koršunov']"
n306918395,Jak najít svou pravou cestu - Valerij Sineľnikov,100,1,2015,96,Eugenika,naučná,Valerij Sineľnikov</p>,,"Oblíbený ruský autor vysvětluje, jak máme žít, abychom naplňovali i duchovní, a nejenom tělesný a materiální smysl našeho života. Každý z nás má určité poslání, specifickou...",142,147,"['Eugenika, naučná', '', 'české, Valerij Sineľnikov']"
n338003486,Reflexní zóny,0,0,2015,132,Eugenika,naučná,Ewald Kliegel</p>,,"Reflexní terapie není nic složité. Je to výborná, jednoduchá svépomocná metoda, kterou můžete použít kdykoliv a kdekoliv. Působí jako okamžitá úleva při rozličných méně vážných...",123,175,"['Eugenika, naučná', '', 'české, Ewald Kliegel']"
n292017294,Jak získat uspokojení a radost ze života,0,0,2015,168,Eugenika,naučná,Alexander Koršunov</p>,,"p style=""text-align: justify;"">
 Koršunov povídá o smyslu lidského života. Vysvětluje, že každý z nás má na tomto světě dva úkoly: zvyšovat vlastní úroveň odpovědnosti a lásky...",146,228,"['Eugenika, naučná', '', 'české, Alexander Koršunov']"
n276131064,Ako si spoluvytvárame svoje životy,0,0,2015,168,Eugenika,naučná,Wayne Dyer</p>,,"Vynikající, originální podané vysvětlení našich lidských zážitků na tomto světě. Jasně a stručně, s nadhledem a vtipem, bez zbytečného sentimentu a přitom láskyplně reaguje...",164,198,"['Eugenika, naučná', '', 'české, Esther Hicks, Wayne Dyer']"
