db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n362867451,Jediná věc,0,0,2013,208,BizBooks,naučná,české</p>,,"Nestíháte a chcete znát lék na svůj problém? Pokud za řešení považujete multitasking, jste na omylu. Gary Keller tvrdí, že práce na více věcech současně není ani účinná, ani...",173,249,"['BizBooks, naučná', '', 'české']"
n122581283,"Prodejem k vítězství. Nejlepší kniha o prodeji, jaká kdy byla napsána - Richard Denny - BizBooks",98,2,2013,208,BizBooks,naučná,české</p>,,"Pokud si chcete začít budovat kariéru jako úspěšný prodejce nebo už profesionálním prodejcem jste a rádi byste své prodeje navýšili, kniha Prodejem k vítězství se vám jistě...",201,289,"['BizBooks, naučná', '', 'české']"
n109635027,Váš osobní StartUp,86,2,2013,232,BizBooks,naučná,české</p>,,Revoluční plán pro úspěch v práci a budování kariéry za použití lekcí nejinovativnějších podnikatelů ze Silicon Valley. Spoluzakladatel a výkonný ředitel společnosti LinkedIn...,192,249,"['BizBooks, naučná', '', 'české']"
n121643733,Co si za peníze (ne)koupíte,0,0,2013,208,BizBooks,naučná,české</p>,,"Žijeme v době, kdy můžeme koupit či prodat téměř vše. Za poslední tři desetiletí došla situace tak daleko, že nám trhy a tržní hodnoty vládnou více než kdykoli předtím. Do této...",215,299,"['BizBooks, naučná', '', 'české']"
n90177091,Spirituální řešení,93,3,2013,208,BizBooks,naučná,české</p>,,"Život je plný výzev, větších i menších. Spiritualita je zde, aby nabídla řešení.
 
 Během své kariéry lékaře, učitele a spisovatele obdržel Deepak Chopra tisíce otázek od lidí...",173,249,"['BizBooks, naučná', '', 'české']"
n94563158,"Jak mluvit, když o něco jde",95,1,2013,224,BizBooks,naučná,české</p>,,"Kerry Petterson; Joseph Grenny; Ron McMillan. Když řešíte nepříjemnou, leč velmi důležitou situaci s přáteli, příbuznými či v zaměstnání, jak váš rozhovor probíhá? Držíte se...",289,289,"['BizBooks, naučná', '', 'české']"
n79657178,Šíleně jednoduché. Posedlost jako základ úspěchu Apple - Ken Segall,100,3,2013,224,BizBooks,naučná,české</p>,,"„Jednoduché může být často obtížnější než složité. Musíte tvrdě pracovat na tom, aby vaše myšlení bylo přímé a dosáhli jste jednoduchosti. Ale stojí to za to, protože jakmile...",227,299,"['BizBooks, naučná', '', 'české']"
n145192075,Jak ovládnout své peníze - Partners,80,1,2013,232,BizBooks,naučná,české</p>,,"Finanční plánování pro každého. Jak ovládnout své peníze Neustálý vítr v peněžence, čekání na výplatu jako na smilování, peníze na dárky nebo na dovolenou se nakonec někde...",202,299,"['BizBooks, naučná', '', 'české']"
n85202131,"Jak změříte svůj život? - Clayton Christensen, James Allworth, Karen Dillon",0,0,2013,184,BizBooks,naučná,české</p>,,"„Kniha shrnuje nejlepší Christensenovy rady jak dosáhnout úspěchů, aniž by to narušilo osobní život... Provokativní, leč uklidňující: Peter Drucker kombinovaný s Mitchem...",212,249,"['BizBooks, naučná', '', 'české']"
n129088528,"8 strategií růstu. Jak ovládnout trh Philip Kotler, Milton Kotler BizBooks",0,0,2013,208,BizBooks,naučná,české</p>,,"Marketingový guru Philip Kotler a uznávaný poradce v oblasti marketingových strategií Milton Kotler přicházejí na pomoc všem firmám v době ekonomické recese – nabízejí návod,...",99,354,"['BizBooks, naučná', '', 'české']"
n94886782,Reklamní slogany. Nejlepší světové slogany a příběhy stojící za jejich vznikem - Lionel Salem - BizBooks,90,1,2013,216,BizBooks,naučná,české</p>,,"vydáno 22.4.2013  Reklamní slogany jsou krátká slovní spojení, která zdůrazňují klíčové vlastnosti produktů, služeb nebo značek. Jejich tvůrci je navrhují tak, abychom si je...",99,399,"['BizBooks, naučná', '', 'české']"
n136568772,Cesta k úspěchu podle Napoleona Hilla Napoleon Hill,100,1,2013,192,BizBooks,naučná,české</p>,,"Schází vám na cestě k úspěchu orientační smysl? Nejste schopni najít správný směr? Nejste si jisti, že pro dosažení cíle děláte to, co je třeba? Proč se některým lidem daří...",173,249,"['BizBooks, naučná', '', 'české']"
n166526330,"Manéž informačního věku - Ivan Pilný, Tereza Kučerová",0,0,2013,232,BizBooks,naučná,české</p>,,"Říká se, že žijeme v době informačního věku. Atributy připisované informačnímu věku bývají technologie, počítače, digitalizace, digitální dálnice, informace kdykoli, kdekoli,...",182,269,"['BizBooks, naučná', '', 'české']"
n132756425,"Vyznejte se v novém občanském zákoníku - Ševčík Ludvík, Wellech Eliška, Pšenko Robert, Kincl Michal",94,4,2013,216,BizBooks,naučná,české</p>,,"Občanské právo je nejen o občanovi, ale také pro něj. Nevěříte? V této knize vám autoři – profesionální právníci – předkládají srozumitelnou formou základní oblasti občanského...",137,249,"['BizBooks, naučná', '', 'české']"
n79657188,Marketing jako šachová hra. Vítězné strategie pro získání a udržení zákazníků - Jaroslav Tručka,73,3,2013,216,BizBooks,naučná,české</p>,,"Marketing jako šachová hra kniha od autora Jaroslav Tručka. Na počátku jsou síly zcela vyrovnány. Výsledek hry záleží na umění obou soupeřů. Cílem je dát soupeři mat, zvítězit....",149,199,"['BizBooks, naučná', '', 'české']"
