db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n197487816,Eufeeling! Umění vytvářet vnitřní mír a vnější prosperitu Frank Kinslow,99,3,2014,200,ANAG,naučná,české</p>,,"Na stránkách nové knihy doktora Kinslowa se naučíte jít nad rámec okamžité uzdravující moci Kvantového unášení, na základě jednoho postupu si uvědomíte své nejniternější...",166,259,"['ANAG, naučná', '', 'české']"
n236600738,Nespoutaná duše. Cesta za hranice sebe sama - Michael A. Singer - Anag,100,1,2014,192,ANAG,naučná,české</p>,,"Kdo jste? Když začnete zkoumat tuto otázku, zjistíte, jak nepolapitelné to opravdu je. Jste fyzické tělo? Sbírka zkušeností a vzpomínek? Partnerem do vztahu? Pokaždé, když...",97,220,"['ANAG, naučná', '', 'české']"
n186015454,Koučink duše. Cesta ke klidu a radosti ze života - Michaela Merten,90,1,2014,200,ANAG,naučná,české</p>,,"Koučink duše je kniha, která vám dodá odvahu!
	Všichni jsme na tomto světě proto, abychom rostli a vzali osud do svých rukou. Známá herečka a moderátorka Michaela Merten...",207,289,"['ANAG, naučná', '', 'české']"
n173952076,Společensky odpovědné chování se firmám vyplácí,0,0,2014,192,Management Press,naučná,české</p>,,"Velká pozornost se dnes věnuje problematice sociálních médií. Stejně tak je kladen značný důraz na téma společenské odpovědnosti firem. Autor předkládá první knihu, která obě...",229,329,"['Management Press, naučná', '', 'české']"
n174876213,"Dvakrát měř, než rozhodneš! Michael J. Mauboussin",0,0,2014,224,Management Press,naučná,české</p>,,"Kniha amerického investičního stratéga určená nejen podnikatelům a investorům, kteří chtějí přijímat lepší rozhodnutí, probírá obvyklé myšlenkové chyby, jichž se při...",199,389,"['Management Press, naučná', '', 'české']"
n214852545,"Priority ředitele Ovládněte umění, jak přežít na vrcholu",0,0,2014,224,ANAG,naučná,české</p>,,"Kniha Priority ředitele poskytuje přímé, specifické, cenné a praktické rady a postřehy pro začínající vedoucí výkonné úředníky a generální ředitele nebo manažery, podpořené...",109,323,"['ANAG, naučná', '', 'české']"
n202762317,Ego versus Eq Jen Shirkani,80,1,2014,200,Management Press,naučná,české</p>,,"Autorka, specialistka v oboru emocionální inteligence, na základě mnohaleté zkušenosti konzultantky, lektorky a koučky předkládá praxí ověřené strategie umožňující vyhnout se...",238,349,"['Management Press, naučná', '', 'české']"
n233501241,"Jak vytvořit blogy, podcasty, videa, e-knihy, webináře... - Ann Handley...",0,0,2014,216,ANAG,naučná,české</p>,,Kterým vaši zákaznící podlehnou. Jak vytvořit lákavý webový obsah a vybudovat loajální zákaznickou online základnu? Jak probudit zájem o vaše produkty či služby a propagovat...,108,349,"['ANAG, naučná', '', 'české']"
n191296304,"Výhoda spokojenosti Sedm principů pozitivní psychologie, které vám dodají energii k úspěc",0,0,2014,224,ANAG,naučná,české</p>,,"Dosavadní názor na dosažení úspěchu je překonaný. Podle tradičního pojetí platí, že pracujeme-li tvrdě, budeme spokojenější, a jsme-li spokojenější, budeme šťastní. Pokud si...",172,172,"['ANAG, naučná', '', 'české']"
n477068891,Získal jsem práci svých snů,0,0,2014,208,ANAG,naučná,české</p>,,"Čerství absolventi hledají, jak vstoupit mezi pracující a čelit odrazujícímu trhu práce a silné konkurenci dokonce i v nižších pozicích. Přesto se správným přístupem a...",89,299,"['ANAG, naučná', '', 'české']"
