db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n362866635,MASÁŽE Anatomie,95,2,2013,160,Computer Press,naučná,české</p>,,"Tato kniha vás provede světem relaxace a příjemných pocitů. Postupně si osvojíte základní hmaty, naučíte se sestavit kompletní plán masáží a pak můžete svým blízkým v klidu...",278,399,"['Computer Press, naučná', '', 'české']"
n466927957,Android Jednoduše - Martin Herodek,0,0,2013,128,Computer Press,naučná,české</p>,,"Android jednoduše Pořídili jste si nový chytrý telefon nebo tablet s Androidem a tápete, kde začít? Nechcete zdlouhavě objevovat postupy, jak všechno kolem tohoto systému...",143,180,"['Computer Press, naučná', '', 'české']"
n678284777,Anatomie parních lokomotiv - Hynek Palát,93,14,2013,160,Computer Press,naučná,české</p>,,"Anatomie parních lokomotiv kniha od autora Hynek Palát. Celobarevná encyklopedie obsahuje podrobný přehled parních lokomotiv a seznamuje čtenáře s jejich konstrukcí,...",369,369,"['Computer Press, naučná', '', 'české']"
n122581271,"Bezlepková a bezmléčná dieta. Recepty pro kompletní jídelníček, rozpoznání příznaků, léčba, dieta Dagmar Kovářů, Jitka Knápková CPress",93,5,2013,120,Computer Press,naučná,české</p>,,"Recepty pro kompletní jídelníček, rozpoznání příznaků, léčba, dieta. Jak žít s celiakií, nesnášenlivostí lepku, mléka či jiných potravin? Jak poznat první příznaky? Co se může...",102,149,"['Computer Press, naučná', '', 'české']"
n137377755,Hrajeme si s Fimo hmotou - Monika Brýdová,96,3,2013,112,Computer Press,naučná,české</p>,,"Nová kniha oblíbené kreativní autorky Moniky Brýdové.
Máme pro vás připraveny další techniky a postupy, nápadité výrobky a nepřeberné množství inspirace. Ve zbrusu nové knize...",47,249,"['Computer Press, naučná', '', 'české']"
n144382688,Divadlo Járy Cimrmana,96,11,2013,64,Computer Press,naučná,české</p>,,"Divadlo Járy Cimrmana - divadlo, které se proslavilo...

Tato jedinečná publikace je dosud nejobsáhlejším průvodcem po neobyčejně plodné, letos již šestačtyřicetileté historii...",971,1,"['Computer Press, naučná', '', 'české']"
n268932730,Alice in Wonderland/Alenka v říši divů,93,2,2013,152,Computer Press,naučná,české</p>,,"Traduje se, že matematik Ch. L. Dodgson, kterého známe pod pseudonymem Lewis Carroll, vymyslel příběh při projížďce na člunu, kde jej vyprávěl dceři svého přítele - Alici. Ta...",208,299,"['Computer Press, naučná', '', 'české']"
n137976135,Origami,89,9,2013,144,Computer Press,naučná,české</p>,,"Krok za krokem k úžasným papírovým modelům. Origami je světovým fenoménem, který naplno zasáhl i naší republiku. Pokud i vy chcete proniknout do úžasného světa papírových...",227,285,"['Computer Press, naučná', '', 'české']"
n122581210,"Lidské tělo-obrazový atlas latinsko-česko-anglický. obrazový atlas latinsko-česko-anglický - Elaine N. Marieb, Matt Hutchinson, Jon Mallatt - CPress",94,2,2013,148,Computer Press,naučná,české</p>,,"Kosti a orgány lidského těla na autentických barevných fotografiích, doplněno latinsko-česko-anglickým slovníkem. Autentické barevné fotografie lidských orgánů a kostí....",257,257,"['Computer Press, naučná', '', 'české']"
n128821855,"Taxi, popelářská a speciální vozidla",95,4,2013,160,Computer Press,naučná,české</p>,,"České a slovenské víceúčelové automobily od r. 1906. Taxi, popelářská a speciální vozidla Kniha „Taxi, popelářská a speciální vozidla“ přibližuje čtenářům netradičním způsobem...",257,333,"['Computer Press, naučná', '', 'české']"
n112279533,"Vznětové motory vozidel. Biopaliva, emise, traktory - Jiří Čupera, Tomáš Šmerda, Martin Fajman - CPress",0,0,2013,112,Computer Press,naučná,české</p>,,Barevná publikace Vznětové motory vozidel je určena pro odbornou veřejnost a studenty automobilových oborů. Přináší informace o využití řepkového oleje jako paliva pro vznětové...,173,249,"['Computer Press, naučná', '', 'české']"
n94659418,"Hrátky se sklem. Fusing, mozaika, vitráže Tiffany - Markéta Lukáčová - CPress",93,7,2013,112,Computer Press,naučná,české</p>,,"Chcete poznat práci se sklem – nádherným, tajemným a třpytivým materiálem?   Zkušená autorka a lektorka kurzů vám krok za krokem ukáže, jak na to.   Kniha v sobě elegantně...",224,224,"['Computer Press, naučná', '', 'české']"
n132521807,Originální tvoření pro malá i velká stvoření - Dvořáková Lucie,92,13,2013,104,Computer Press,naučná,české</p>,,"Originální tvoření pro malá i velká stvoření

Kreativní kniha plná nápadů na různá témata.

Malí i velcí si mohou vzít podnět pro výrobu třiceti různých projektů. V knize mohou...",194,252,"['Computer Press, naučná', '', 'české']"
n144910850,Tatra 600 Tatraplan - Marián Šuman-Hreblay,0,0,2013,152,Computer Press,naučná,české</p>,,"Kniha dokumentuje vývoj a historii aerodynamického vozu Tatraplan, vyráběného v letech 1947–1952 v kopřivnické firmě Tatra a po převedení výroby rovněž ve Škodě Mladá Boleslav....",297,349,"['Computer Press, naučná', '', 'české']"
n94886776,Když chci stavět dům /2. vyd./ - Tomáš Zlatník,90,2,2013,96,Computer Press,naučná,české</p>,,"Tato kniha obsahuje vše podstatné, co by měl vědět občan, který se rozhodne stavět. Jde o nové, přepracované a aktualizované vydání, které zohledňuje rozsáhlou novelu...",249,249,"['Computer Press, naučná', '', 'české']"
n128836663,Peklo na východní frontě 1941-1945,97,2,2013,116,Computer Press,naučná,české</p>,,"Dne 22. června 1941 zahájilo Německo operací Barbarossa útok na Sovětský svaz. Boje, které se následně rozhořely na celé východní frontě, přinesly nejen rozhodující momenty...",186,186,"['Computer Press, naučná', '', 'české']"
n419285450,Microsoft Office 2013: Jednoduše - Pavel Roubal,0,0,2013,136,Computer Press,naučná,české</p>,,"Potřebujete se co nejrychleji seznámit s kancelářskými programy Office 2013 a naučit se je využívat k obvyklým úkolům v zaměstnání, při studiu či v domácnosti? S touto...",99,169,"['Computer Press, naučná', '', 'české']"
n136570872,"Já, zlatý retrívr - Veronika Souralová, Dan Materna",0,0,2013,88,Computer Press,naučná,české</p>,,"Příběhy psa Tedíka a jeho kamarádů.  Já, zlatý retrívr  Ahoj děti i dospělí, jsem zlatý retrívr a jmenuju se Teddy, ale klidně mi můžete říkat Tedík. Kdysi jsem byl malé...",173,225,"['Computer Press, naučná', '', 'české']"
n145192072,Dekorování papíru Klára Nejezchlebová,85,1,2013,88,Computer Press,naučná,české</p>,,"V naší knize získáte mnoho námětů pro zdobení papíru klasickými grafickými technikami.. Úvodem se dozvíte o historii výroby, druzích a zásadách práce s papírem. Na...",59,229,"['Computer Press, naučná', '', 'české']"
n136570831,"Balony a vzducholodě Jan Balej, Pavel Sviták, Petr Plocek",0,0,2013,112,Computer Press,naučná,české</p>,,"Přání člověka vzlétnout bylo korunováno úspěchem až koncem 18. století díky geniálnímu vynálezu bratří Montgolfierů. První vzlety balonů ve Francii, a to bez posádky i s lidmi...",199,343,"['Computer Press, naučná', '', 'české']"
n128587388,Automobily s pohonem na LPG,0,0,2013,168,Computer Press,naučná,české</p>,,"Kniha je určena pro majitele vozidel s pohonem na LPG i pro řidiče, kteří uvažují o typové či individuální přestavbě svého vozidla a hledají odpovědi na otázky z oblasti...",201,249,"['Computer Press, naučná', '', 'české']"
n460974166,Microsoft Windows 8 Jednoduše - Pavel Roubal,0,0,2013,144,Computer Press,naučná,české</p>,,"Potřebujete se co nejrychleji seznámit s novým prostředím Windows 8 a naučit se počítač využívat k plné spokojenosti v zaměstnání, doma či při studiu? S touto publikací z edice...",102,139,"['Computer Press, naučná', '', 'české']"
n112586392,"Aby vám znovu chutnalo. Praktické rady pro dobré trávení, tipy pro děti i dospělé Stanislava Jarolímková CPress",0,0,2013,120,Computer Press,naučná,české</p>,,"Trápí vás již delší dobu trávicí potíže a lékař si neví rady? Možná se ve vašem případě jedná o řešitelný problém, nazvaný funkční porucha trávení. 
Tento zdravotní problém...",59,169,"['Computer Press, naučná', '', 'české']"
