db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n71489288,Think and Grow Rich Hill Napoleon,0,0,1987,235,,,Napoleon Hill,anglické,"Here are money-making secets that can change your life. Inspired by Andrew Carnegie's magic formula for success, this book will teach you the secrets that will bring you a...",176,239,"['', 'Napoleon Hill, anglické']"
n53141105,Sekundy a setiny - Kristian Ghedina,100,1,1900,204,Triton,životopisy,Ghedina Kristian,české,"Sekundy a setiny - Můj život v rychlosti kniha od autora Ghedina Kristian. Kristian Ghedina, nejlepší italský sjezdař všech dob, poprvé uceleně vypráví o svém životě ve...",238,343,"['', 'Triton, životopisy, Ghedina Kristian, české']"
n91548715,"Mechanics - L. Landau, E. Lifshitz Volume 1",0,0,1982,200,Elsevier Science &amp; Technology,,Landau L. D.</p>,,"Devoted to the foundation of mechanics, namely classical Newtonian mechanics, this mechanics text is based mainly on Galileo's principle of relativity and Hamilton's principle...",1,2,"['', 'Elsevier Science & Technology, Landau L. D.']"
n64543750,Denník malej blondínky,0,0,1900,216,Ottovo nakladatelstvo,dětské,Jiří Urban,slovenské,"Dnes začínam písať tento denník. Niežeby to bol môj nápad, nepadla som predsa na hlavu. V dnešnej dobe blogov si píše papierový denník len TB (totálny blázon) a HB (Homo blbec)...",91,240,"['', 'Ottovo nakladatelstvo, dětské, Jiří Urban, slovenské']"
n23997122,Sagiho skandálovník,100,1,1900,200,XYZ,beletrie,Sagvan Tofi,české,"Sagiho skandálovník kniha od autora Sagvan Tofi. Celebrity: skandály, fámy, odhalení Jak se proslavit? Co nejvíc zabere? Kdo si v našem showbyznysu myslí, že je hvězda? Kdo...",42,86,"['', 'XYZ, beletrie, Sagvan Tofi, české']"
n2146587,"Spoušťové body a jejich odstraňování, Návod na samoošetření",96,5,1900,208,,,Donna Finando,české,"Nejrůznější tělesné potíže a pohybová omezení začínají často svalovými poraněními, která v důsledku převládajícího konvenčního přístupu k ortopedické péči nejsou adekvátně...",327,398,"['', 'Donna Finando, české']"
n33681300,"Jařmo, parkán, trdlice",93,11,1900,200,Grada,,Alena Vondrušková,české,"Jedinečnost celkového zpracování, několik set hesel nabitých zajímavými informacemi o životě v minulosti, zábavnou formou podané historické souvislosti, bezmála tisícovka...",327,389,"['', 'Grada, Alena Vondrušková, české']"
n20367957,"Elektronika tajemství zbavená, Pokusy s optoelektronikou",100,1,1900,192,naučná,,Adrian Schommers,české,"Další z řady pěti knih, které jsou určeny všem zájemcům o elektroniku. Tento díl vás provede krok za krokem optoelektronikou od fyzikálních principů optoelektrických prvků po...",89,147,"['', 'naučná, Adrian Schommers, české']"
n23177634,Stát ve třetím tisíciletí,100,2,1900,208,Grada,,Hans – Adam II. z Liechtenstei,české,"Úspěšný monarcha a podnikatel, hlava státu s nejvyšší životní úrovní na světě, se v této velmi inspirující knize dělí o své názory a zkušenosti se správou věcí veřejných. Autor...",280,319,"['', 'Grada, Hans – Adam II. z Liechtenstei, české']"
n10286367,Zdravotnická dokumentace v praxi - Policar Radek,0,0,1900,224,Grada,,Policar Radek,české,"Zdravotnická dokumentace v praxi na www.ucebnice.com
Příručka pro každodenní praxi všech zdravotnických zařízení v České republice se zabývá zdravotnickou dokumentací...",127,319,"['', 'Grada, Policar Radek, české']"
n198538010,L' Etranger - Albert Camus - Paperback,0,0,1972,185,Sodis,,Camus Albert,francouzské,"Quand la sonnerie a encore retenti, que la porte du box s'est ouverte, c'est le silence de la salle qui est monté vers moi, le silence, et cette singuliere sensation que j'ai...",165,286,"['', 'Sodis, Camus Albert, francouzské']"
n22246812,EN Discworld 02: The Light Fantastic Terry Pratchett,0,0,1986,216,Transworld Publishers,naučná,Terry Pratchett,anglické,"Zeměplocha se řítí k nevyhnutelné srážce se škodolibou rudou hvězdou a zachránit ji může pouze jediný člověk - neschopný a zbabělý čaroděj Mrakoplaš, který byl naposledy...",151,224,"['', 'Transworld Publishers, naučná, Terry Pratchett, anglické']"
